,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Pts Won,Pts Max,Share,WS,WS/48,W,L,W/L%,GB,PS/G,PA/G,SRS,PTS_Scaled,TRB_Scaled,AST_Scaled,STL_Scaled,BLK_Scaled,FG%_Scaled,eFG%_Scaled,WS_Scaled,WS/48_Scaled
201,Al Jefferson,29.0,Charlotte Bobcats,C,73.0,73.0,35.0,9.6,18.8,0.509,0.0,0.2,0.2,9.5,18.6,0.512,0.51,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8,2014,34.0,1250.0,0.027,7.8,0.146,43,39,.524,11.0,96.9,97.1,-0.89,-0.19690096873241095,1.0001748327380549,-1.2282918640800788,-0.96266902032875,0.1808540501985502,0.4502080536602977,-0.27166246455866644,-0.9286773457539066,-1.0512838428913245
343,Allen Iverson,21.0,Philadelphia 76ers,PG,76.0,74.0,40.1,8.2,19.8,0.416,2.0,6.0,0.341,6.2,13.8,0.448,0.467,5.0,7.2,0.702,1.5,2.6,4.1,7.5,2.1,0.3,4.4,3.1,23.5,1997,1.0,1150.0,0.001,4.1,0.065,22,60,.268,39.0,100.2,106.7,-5.89,0.12999325512271823,-1.0457283411360345,0.7843898423145385,1.3270912489828501,-0.7278386293061337,-1.6030772751829274,-1.2903481608236893,-2.040848079648749,-2.7334060798492366
345,Allen Iverson,23.0,Philadelphia 76ers,SG,48.0,48.0,41.5,9.1,22.0,0.412,1.2,4.1,0.291,7.9,17.9,0.44,0.439,7.4,9.9,0.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8,1999,319.0,1180.0,0.27,7.2,0.173,28,22,.560,5.0,89.7,87.6,2.56,0.7645526308414988,-0.8014413950018148,-0.29649477778627464,1.708717960534783,-0.9550117991823048,-1.6913906226600555,-1.9536783816474261,-1.1090293566557727,-0.4905764305720204
346,Allen Iverson,24.0,Philadelphia 76ers,SG,70.0,70.0,40.8,10.4,24.8,0.421,1.3,3.7,0.341,9.1,21.0,0.435,0.446,6.3,8.9,0.713,1.0,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4,2000,132.0,1210.0,0.109,6.9,0.116,49,33,.598,3.0,94.8,93.4,1.02,1.0722177827051496,-1.137335945936367,-0.2592228943345223,1.3270912489828501,-0.9550117991823048,-1.4926855908365175,-1.7878458264414918,-1.1992053621067058,-1.6742920788016622
347,Allen Iverson,25.0,Philadelphia 76ers,SG,71.0,71.0,42.0,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,2001,1121.0,1240.0,0.904,11.8,0.19,56,26,.683,—,94.7,90.4,3.64,1.5914027264750614,-1.137335945936367,-0.29649477778627464,2.0903446720867165,-0.7278386293061337,-1.5147639277057994,-1.7641554614120727,0.2736693935918691,-0.13753843022282858
348,Allen Iverson,26.0,Philadelphia 76ers,SG,60.0,59.0,43.7,11.1,27.8,0.398,1.3,4.5,0.291,9.8,23.4,0.419,0.422,7.9,9.8,0.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4,2002,29.0,1260.0,0.023,6.9,0.126,43,39,.524,9.0,91.0,89.4,1.27,1.6490899424494954,-0.9235848680689247,0.03895217327949503,2.6627847394146165,-0.8414252142442193,-2.0004873388300024,-2.356414587147552,-1.1992053621067058,-1.4666226668315496
349,Allen Iverson,27.0,Philadelphia 76ers,SG,82.0,82.0,42.5,9.8,23.7,0.414,1.0,3.7,0.277,8.8,20.0,0.44,0.436,7.0,9.0,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,2003,83.0,1190.0,0.07,9.2,0.127,48,34,.585,1.0,96.8,94.5,1.76,0.9183852067733245,-1.015192472869257,0.03895217327949503,2.4719713836386505,-0.8414252142442193,-1.6472339489214916,-2.0247494767356837,-0.5078559869828854,-1.4458557256345383
351,Allen Iverson,29.0,Philadelphia 76ers,PG,75.0,75.0,42.3,10.3,24.2,0.424,1.4,4.5,0.308,8.9,19.7,0.451,0.453,8.7,10.5,0.835,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,30.7,2005,240.0,1270.0,0.189,9.0,0.136,43,39,.524,2.0,99.1,99.9,-1.07,1.514486438509148,-1.0762642094028119,0.9334773761215474,1.89953131631075,-0.9550117991823048,-1.4264505802286715,-1.6220132712355577,-0.5679733239501739,-1.2589532548614368
352,Allen Iverson,30.0,Philadelphia 76ers,PG,72.0,72.0,43.1,11.3,25.3,0.447,1.0,3.1,0.323,10.3,22.2,0.465,0.467,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,2006,1.0,1250.0,0.001,10.6,0.165,38,44,.463,11.0,99.4,101.3,-2.10,1.9567550943131469,-1.3205511555370315,0.7471179588627864,0.9454645374309165,-0.9550117991823048,-0.9186488322351853,-1.2903481608236893,-0.08703462821186385,-0.6567119601481101
368,Alonzo Mourning,25.0,Miami Heat,C,70.0,70.0,38.2,8.0,15.4,0.523,0.1,0.4,0.3,7.9,14.9,0.53,0.527,7.0,10.2,0.685,3.1,7.3,10.4,2.3,1.0,2.7,3.7,3.5,23.2,1996,6.0,1130.0,0.005,9.9,0.178,42,40,.512,18.0,96.5,95.0,1.46,0.07230603914828351,0.878031359670945,-1.1537480971765746,-0.7718556645527833,1.998239409207918,0.7593047698302458,0.1310737409414594,-0.2974453075973743,-0.386741724586964
369,Alonzo Mourning,26.0,Miami Heat,C,66.0,65.0,35.2,7.2,13.4,0.534,0.0,0.1,0.111,7.2,13.3,0.539,0.535,5.5,8.6,0.642,2.9,7.1,9.9,1.6,0.8,2.9,3.4,4.1,19.8,1997,5.0,1150.0,0.004,8.4,0.174,61,21,.744,—,94.8,89.3,5.56,-0.5814824085619749,0.7253520183370578,-1.4146512813388397,-1.1534823761047166,2.225412579084089,1.0021664753923478,0.32059666117681274,-0.7483253348520401,-0.4698094893750091
371,Alonzo Mourning,28.0,Miami Heat,C,46.0,46.0,38.1,7.0,13.8,0.511,0.0,0.0,0.0,7.0,13.7,0.513,0.511,6.0,9.2,0.652,3.6,7.4,11.0,1.6,0.7,3.9,3.0,3.5,20.1,1999,773.0,1180.0,0.655,7.9,0.216,33,17,.660,—,89.0,84.0,5.11,-0.5237951925875401,1.0612465692716095,-1.4146512813388397,-1.3442957318806834,3.361278428464944,0.4943647273988617,-0.2479720995292473,-0.898618677270262,0.40240204089946424
372,Alonzo Mourning,29.0,Miami Heat,C,79.0,78.0,34.8,8.3,15.0,0.551,0.0,0.1,0.0,8.3,14.9,0.553,0.551,5.2,7.4,0.711,2.7,6.8,9.5,1.6,0.5,3.7,2.7,3.9,21.7,2000,367.0,1210.0,0.303,12.9,0.226,52,30,.634,—,94.4,91.3,2.75,-0.21613004072388942,0.6032085452699478,-1.4146512813388397,-1.7259224434326168,3.134105258588773,1.3774982021701418,0.6996425016475194,0.6043147469119572,0.6100714528695771
414,Amar'e Stoudemire,22.0,Phoenix Suns,C,80.0,80.0,36.1,9.3,16.7,0.559,0.0,0.2,0.188,9.3,16.5,0.564,0.56,7.3,9.9,0.733,2.7,6.2,8.9,1.6,1.0,1.6,2.4,3.5,26.0,2005,41.0,1270.0,0.032,14.6,0.243,62,20,.756,—,110.4,103.3,7.08,0.6107200549096731,0.4199933356692832,-1.4146512813388397,-0.7718556645527833,0.7487869748889777,1.554124897124398,0.912855786912292,1.1153121111339115,0.9631094532187683
416,Amar'e Stoudemire,24.0,Phoenix Suns,C,82.0,78.0,32.8,7.4,12.9,0.575,0.0,0.0,0.0,7.4,12.8,0.577,0.575,5.6,7.1,0.781,2.7,6.9,9.6,1.0,1.0,1.3,2.8,3.6,20.4,2007,2.0,1290.0,0.002,11.2,0.201,61,21,.744,—,110.2,102.9,7.28,-0.4661079766131061,0.6337444135367252,-1.6382825820493527,-0.7718556645527833,0.40802722007472114,1.9073782870329075,1.2682112623535768,0.09331738269000235,0.09089792294429555
417,Amar'e Stoudemire,25.0,Phoenix Suns,C,79.0,79.0,33.9,9.0,15.3,0.59,0.1,0.4,0.161,9.0,14.9,0.601,0.592,7.0,8.7,0.805,2.3,6.8,9.1,1.5,0.8,2.1,2.2,3.7,25.2,2008,27.0,1260.0,0.021,14.6,0.262,55,27,.671,2.0,110.1,105.0,5.14,0.4568874789778474,0.4810650722028379,-1.451923164790592,-1.1534823761047166,1.3167198995794052,2.2385533400721376,1.6709474678537026,1.1153121111339115,1.3576813359619828
419,Amar'e Stoudemire,27.0,Phoenix Suns,PF,82.0,82.0,34.6,8.6,15.4,0.557,0.0,0.1,0.167,8.6,15.3,0.559,0.557,5.9,7.7,0.771,2.8,6.1,8.9,1.0,0.6,1.0,2.6,3.4,23.1,2010,5.0,1230.0,0.004,10.7,0.181,54,28,.659,3.0,110.2,105.3,4.67,0.053076967156805724,0.4199933356692832,-1.6382825820493527,-1.53510908765665,0.0672674652604646,1.5099682233858338,0.8417846918240345,-0.05697595972821957,-0.32444090099593015
420,Amar'e Stoudemire,28.0,New York Knicks,C,78.0,78.0,36.8,9.5,19.0,0.502,0.1,0.3,0.435,9.4,18.7,0.503,0.505,6.1,7.7,0.792,2.5,5.6,8.2,2.6,0.9,1.9,3.2,3.5,25.3,2011,9.0,1210.0,0.007,8.0,0.134,42,40,.512,14.0,106.5,105.7,0.48,0.47611655096932587,0.20624225780184074,-1.041932446821318,-0.96266902032875,1.089546729703234,0.2956596955753237,-0.3901142897057623,-0.8685600087866178,-1.3004871372554594
553,Andrei Kirilenko,22.0,Utah Jazz,PF,78.0,78.0,37.1,5.3,11.9,0.443,0.9,2.6,0.338,4.4,9.4,0.471,0.479,5.0,6.4,0.79,2.9,5.2,8.1,3.1,1.9,2.8,2.8,2.2,16.5,2004,2.0,1230.0,0.002,11.6,0.192,42,40,.512,16.0,88.7,89.9,-0.53,-1.2160417842807554,0.1757063895350634,-0.8555730295625571,0.9454645374309165,2.1118259941460034,-1.0069621797123134,-1.0060637804706607,0.21355205662458,-0.096004547828806
651,Anfernee Hardaway,23.0,Orlando Magic,PG,77.0,77.0,37.7,7.6,14.8,0.512,1.1,3.2,0.349,6.5,11.6,0.558,0.55,4.6,6.0,0.769,1.8,2.6,4.4,7.2,1.7,0.3,3.4,2.1,20.9,1995,23.0,1050.0,0.022,10.7,0.177,57,25,.695,—,110.9,103.8,6.44,-0.3699626166557151,-0.954120736335702,0.672574191959282,0.5638378258789832,-0.7278386293061337,0.5164430642681437,0.6759521366181003,-0.05697595972821957,-0.40750866578397527
652,Anfernee Hardaway,24.0,Orlando Magic,PG,82.0,82.0,36.8,7.6,14.8,0.513,1.1,3.5,0.314,6.5,11.4,0.573,0.549,5.4,7.1,0.767,1.6,2.7,4.3,7.1,2.0,0.5,2.8,2.0,21.7,1996,360.0,1130.0,0.319,14.4,0.229,60,22,.732,—,104.5,99.0,5.40,-0.21613004072388942,-0.9846566046024796,0.6353023085075297,1.1362778932068833,-0.5006654594299629,0.5385214011374257,0.652261771588681,1.055194774166623,0.6723722764606109
655,Anfernee Hardaway,27.0,Orlando Magic,SG,50.0,50.0,38.9,6.0,14.3,0.42,0.8,2.8,0.286,5.2,11.5,0.452,0.448,3.0,4.2,0.706,1.5,4.2,5.7,5.3,2.2,0.5,3.0,2.2,15.8,1999,1.0,1180.0,0.001,5.0,0.122,33,17,.660,—,89.5,86.9,3.11,-1.3506452882211026,-0.5571544488675952,-0.035591593624009384,1.517904604758817,-0.5006654594299629,-1.5147639277057994,-1.7404650963826536,-1.7703200632959493,-1.5496904316195947
683,Antawn Jamison,31.0,Washington Wizards,PF,79.0,79.0,38.7,7.8,17.9,0.436,1.5,4.5,0.339,6.3,13.5,0.468,0.478,4.2,5.5,0.76,2.7,7.5,10.2,1.5,1.3,0.4,1.4,2.5,21.4,2008,1.0,1260.0,0.001,9.2,0.144,43,39,.524,9.0,98.8,99.2,-0.61,-0.27381725669832413,0.8169596231373898,-1.451923164790592,-0.19941559722488325,-0.6142520443680484,-1.1615105377972874,-1.0297541455000798,-0.5078559869828854,-1.092817725285347
734,Anthony Davis,21.0,New Orleans Pelicans,PF,68.0,68.0,36.1,9.4,17.6,0.535,0.0,0.2,0.083,9.4,17.5,0.54,0.536,5.5,6.8,0.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,2015,203.0,1300.0,0.156,14.0,0.274,45,37,.549,11.0,99.4,98.6,1.13,0.30305490304602173,0.8169596231373898,-1.1910199806283266,0.18221111432705,2.225412579084089,1.0242448122616299,0.3442870262062319,0.9349601002320453,1.6068846303261182
736,Anthony Davis,23.0,New Orleans Pelicans,C,75.0,75.0,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,2017,2.0,1010.0,0.002,11.0,0.195,34,48,.415,27.0,104.3,106.4,-1.69,0.995301494739237,1.3055335154058294,-1.2282918640800788,-0.19941559722488325,1.4303064845174907,0.36189470618316966,-0.08213954432331312,0.033200045722713796,-0.03370372423777215
737,Anthony Davis,24.0,New Orleans Pelicans,PF,75.0,75.0,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.558,0.552,6.6,8.0,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,2018,445.0,1010.0,0.441,13.7,0.241,48,34,.585,17.0,111.7,110.4,1.48,1.0145305667307154,1.0917824375383869,-1.1537480971765746,0.18221111432705,1.8846528242698326,1.0021664753923478,0.7233328666769386,0.8447840947811119,0.9215755708247457
739,Anthony Davis,26.0,Los Angeles Lakers,PF,62.0,62.0,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,0.536,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,2020,82.0,1010.0,0.081,11.1,0.25,52,19,.732,—,113.4,107.6,6.28,0.6299491269011516,0.5421368087363931,-0.8183011461108048,0.18221111432705,1.543893069455576,0.3177380324446057,0.3442870262062319,0.06325871420635808,1.1084780415978472
747,Anthony Edwards,22.0,Minnesota Timberwolves,SG,79.0,78.0,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13.0,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,2024,18.0,990.0,0.018,7.5,0.13,56,26,.683,1.0,113.0,106.5,6.39,0.5914909829181947,-0.6487620536679275,-0.1101353605275138,-0.19941559722488325,-0.5006654594299629,-0.6095521160652373,0.012621915794363555,-1.0188533512048397,-1.3835549020435045
748,Anthony Edwards,23.0,Minnesota Timberwolves,SG,79.0,79.0,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.1,10.1,0.501,0.547,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,2025,12.0,1000.0,0.012,8.4,0.14,49,33,.598,19.0,114.3,109.3,5.15,0.9183852067733245,-0.5571544488675952,-0.3337666612380267,-0.3902289530008501,-0.3870788744918774,-0.9186488322351853,0.6048810415298428,-0.7483253348520401,-1.1758854900733917
779,Anthony Mason,30.0,Charlotte Hornets,PF,73.0,73.0,43.1,5.9,11.3,0.525,0.0,0.0,0.333,5.9,11.3,0.526,0.525,4.4,5.9,0.745,2.5,8.8,11.4,5.7,1.0,0.5,2.3,2.8,16.2,1997,7.0,1150.0,0.006,11.4,0.173,54,28,.659,15.0,98.9,97.0,2.13,-1.2737290002551902,1.1833900423387196,0.11349594018299944,-0.7718556645527833,-0.5006654594299629,0.8034614435688098,0.08369301088262106,0.15343471965729144,-0.4905764305720204
851,Antoine Walker,21.0,Boston Celtics,PF,82.0,82.0,39.9,8.8,20.8,0.423,1.1,3.6,0.312,7.7,17.2,0.447,0.45,3.7,5.8,0.645,3.3,6.9,10.2,3.3,1.7,0.7,3.6,3.2,22.4,1998,6.0,1160.0,0.005,4.8,0.07,36,46,.439,19.0,95.9,98.5,-1.96,-0.08152653678354219,0.8169596231373898,-0.7810292626590528,0.5638378258789832,-0.2734922895537919,-1.4485289170979534,-1.6930843663238153,-1.830437400263238,-2.6295713738641804
1062,Baron Davis,24.0,New Orleans Hornets,PG,67.0,66.0,40.1,8.3,20.9,0.395,2.8,8.7,0.321,5.5,12.2,0.448,0.462,3.5,5.3,0.673,1.0,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9,2004,4.0,1230.0,0.003,7.5,0.133,41,41,.500,20.0,91.8,91.9,-0.72,0.014618823173848786,-0.9846566046024796,0.7843898423145385,1.89953131631075,-0.6142520443680484,-2.0667223494378484,-1.4087999859707852,-1.0188533512048397,-1.3212540784524707
1064,Baron Davis,27.0,Golden State Warriors,PG,63.0,62.0,35.3,7.2,16.3,0.439,1.3,4.4,0.304,5.8,11.9,0.489,0.48,4.4,5.9,0.745,0.8,3.6,4.4,8.1,2.1,0.5,3.1,2.9,20.1,2007,1.0,1290.0,0.001,6.4,0.139,42,40,.512,19.0,106.5,106.9,0.00,-0.5237951925875401,-0.954120736335702,1.0080211430250514,1.3270912489828501,-0.5006654594299629,-1.0952755271894414,-0.9823734154412415,-1.3494987045249278,-1.196652431270403
1108,Ben Simmons,24.0,Philadelphia 76ers,PG,58.0,58.0,32.4,5.6,10.1,0.557,0.1,0.2,0.3,5.6,9.9,0.562,0.56,3.0,4.9,0.613,1.6,5.6,7.2,6.9,1.6,0.6,3.0,2.9,14.3,2021,3.0,1010.0,0.003,6.0,0.153,49,23,.681,—,113.6,108.1,5.28,-1.6390813680932756,-0.09911642486593349,0.5607585416040256,0.3730244701030168,-0.3870788744918774,1.5099682233858338,0.912855786912292,-1.4697333784595055,-0.9059152545122455
1117,Ben Wallace,27.0,Detroit Pistons,C,80.0,80.0,36.5,3.2,6.0,0.531,0.0,0.0,0.0,3.2,6.0,0.535,0.531,1.2,2.9,0.423,4.0,9.0,13.0,1.4,1.7,3.5,0.9,2.2,7.6,2002,24.0,1260.0,0.019,11.6,0.19,50,32,.610,—,94.3,92.2,1.69,-2.927429191522315,1.6719639346071586,-1.4891950482423442,0.5638378258789832,2.906932088712602,0.9359314647845018,0.22583520105913607,0.21355205662458,-0.13753843022282858
1118,Ben Wallace,28.0,Detroit Pistons,C,73.0,73.0,39.4,2.9,6.0,0.481,0.0,0.1,0.167,2.9,5.9,0.485,0.482,1.2,2.6,0.45,4.0,11.4,15.4,1.6,1.4,3.2,1.2,2.5,6.9,2003,33.0,1190.0,0.028,10.6,0.176,50,32,.610,—,91.4,87.7,2.97,-3.062032695462662,2.4048247730098176,-1.4146512813388397,-0.008602241448916846,2.5661723338983458,-0.16798537867959842,-0.9349926853824032,-0.08703462821186385,-0.42827560698098655
1119,Ben Wallace,29.0,Detroit Pistons,C,81.0,81.0,37.7,3.9,9.2,0.421,0.0,0.1,0.125,3.9,9.1,0.424,0.422,1.8,3.6,0.49,4.0,8.4,12.4,1.7,1.8,3.0,1.5,2.0,9.5,2004,24.0,1230.0,0.02,10.2,0.16,54,28,.659,7.0,90.1,84.3,5.04,-2.562076823684229,1.488748725006494,-1.3773793978870874,0.75465118165495,2.3389991640221743,-1.4926855908365175,-2.356414587147552,-0.2072693021464415,-0.7605466661331665
1150,Bernard King,34.0,Washington Bullets,SF,64.0,64.0,37.5,11.1,23.6,0.472,0.1,0.6,0.216,11.0,23.0,0.478,0.475,6.0,7.6,0.79,1.8,3.2,5.0,4.6,0.9,0.3,4.0,2.9,28.4,1991,7.0,960.0,0.007,3.5,0.07,30,52,.366,26.0,101.4,106.4,-4.84,1.0722177827051496,-0.7709055267350374,-0.29649477778627464,-0.96266902032875,-0.7278386293061337,-0.36669041050313644,-1.1008252405883374,-2.221200090550615,-2.6295713738641804
1229,Blake Griffin,21.0,Los Angeles Clippers,PF,82.0,82.0,38.0,8.5,16.8,0.506,0.1,0.3,0.292,8.4,16.5,0.51,0.508,5.4,8.5,0.642,3.3,8.8,12.1,3.8,0.8,0.5,2.7,3.1,22.5,2011,5.0,1210.0,0.004,9.8,0.152,32,50,.390,25.0,98.6,101.8,-2.71,-0.062297464792063724,1.3971411202061614,-0.594669845400292,-1.1534823761047166,-0.5006654594299629,0.38397304305245167,-0.3190431946175048,-0.3275039760810186,-0.9266821957092568
1232,Blake Griffin,24.0,Los Angeles Clippers,PF,80.0,80.0,35.8,9.0,17.0,0.528,0.2,0.6,0.273,8.8,16.4,0.537,0.533,6.0,8.4,0.715,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.1,2014,434.0,1250.0,0.347,12.2,0.205,57,25,.695,—,107.9,101.0,7.27,0.24536768707158768,0.6032085452699478,-0.5573979619485397,-0.3902289530008501,-0.3870788744918774,0.8696964541766558,0.27321593111797443,0.3939040675264462,0.1739656877323401
1233,Blake Griffin,25.0,Los Angeles Clippers,PF,67.0,67.0,35.2,8.6,17.1,0.502,0.1,0.4,0.4,8.4,16.7,0.504,0.506,4.6,6.4,0.728,1.9,5.7,7.6,5.3,0.9,0.5,2.3,2.9,21.9,2015,3.0,1300.0,0.002,9.0,0.183,56,26,.683,11.0,106.7,100.1,6.80,-0.17767189674093317,0.02302704820117615,-0.035591593624009384,-0.96266902032875,-0.5006654594299629,0.2956596955753237,-0.36642392467634316,-0.5679733239501739,-0.28290701860190753
1393,Brad Daugherty,26.0,Cleveland Cavaliers,C,73.0,73.0,36.2,7.9,13.8,0.57,0.0,0.0,0.0,7.9,13.8,0.571,0.57,5.7,7.3,0.777,2.6,7.8,10.4,3.6,0.9,1.1,2.5,2.6,21.5,1992,24.0,960.0,0.025,11.7,0.213,57,25,.695,10.0,108.9,103.4,5.34,-0.2545881847068457,0.878031359670945,-0.6692136123037962,-0.96266902032875,0.1808540501985502,1.7969866026864976,1.149759437206481,0.24361072510822426,0.3401012173084304
1394,Brad Daugherty,27.0,Cleveland Cavaliers,C,71.0,71.0,37.9,7.3,12.8,0.571,0.0,0.0,0.5,7.3,12.8,0.571,0.571,5.5,6.9,0.795,2.3,7.9,10.2,4.4,0.7,0.8,2.1,2.5,20.2,1993,1.0,980.0,0.001,12.7,0.226,54,28,.659,3.0,107.7,101.3,6.30,-0.5045661205960623,0.8169596231373898,-0.37103854468977876,-1.3442957318806834,-0.15990570461570633,1.8190649395557796,1.1734498022359001,0.5441974099446681,0.6100714528695771
1841,Cade Cunningham,23.0,Detroit Pistons,PG,70.0,70.0,35.0,9.8,20.8,0.469,2.1,6.0,0.356,7.6,14.8,0.515,0.521,4.5,5.3,0.846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1,2025,12.0,1000.0,0.012,5.9,0.115,44,38,.537,20.0,115.5,113.6,1.73,0.6299491269011516,-0.4350109758004856,1.380739977542573,-0.7718556645527833,-0.15990570461570633,-0.4329254211109825,-0.011068449235055613,-1.4997920469431496,-1.6950590199986735
1938,Carlos Boozer,26.0,Utah Jazz,PF,81.0,81.0,34.9,8.8,16.0,0.547,0.0,0.0,0.0,8.8,16.0,0.547,0.547,3.6,4.9,0.738,2.4,8.0,10.4,2.9,1.2,0.5,2.6,3.6,21.1,2008,1.0,1260.0,0.001,10.2,0.173,54,28,.659,—,106.2,99.3,6.86,-0.3315044726727582,0.878031359670945,-0.9301167964660615,-0.3902289530008501,-0.5006654594299629,1.2891848546930138,0.6048810415298428,-0.2072693021464415,-0.4905764305720204
1962,Carmelo Anthony,19.0,Denver Nuggets,SF,82.0,82.0,36.5,7.6,17.9,0.426,0.8,2.6,0.322,6.8,15.3,0.444,0.449,5.0,6.4,0.777,2.2,3.8,6.1,2.8,1.2,0.5,3.0,2.7,21.0,2004,1.0,1230.0,0.001,6.1,0.098,43,39,.524,15.0,97.2,96.1,1.65,-0.3507335446642367,-0.4350109758004856,-0.9673886799178137,-0.3902289530008501,-0.5006654594299629,-1.3822939064901074,-1.7167747313532344,-1.4396747099758611,-2.048097020347865
1965,Carmelo Anthony,22.0,Denver Nuggets,SF,65.0,65.0,38.2,10.6,22.4,0.476,0.6,2.3,0.268,10.0,20.1,0.499,0.489,7.1,8.7,0.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9,2007,1.0,1290.0,0.001,7.3,0.14,45,37,.549,6.0,105.4,103.7,1.69,1.1683631426625405,-0.46554684406726293,-0.594669845400292,-0.3902289530008501,-0.6142520443680484,-0.27837706302600845,-0.769160130176469,-1.0789706881721284,-1.1758854900733917
1966,Carmelo Anthony,23.0,Denver Nuggets,SF,77.0,77.0,36.4,9.5,19.2,0.492,0.8,2.1,0.354,8.7,17.1,0.509,0.511,6.0,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7,2008,3.0,1260.0,0.002,8.2,0.14,50,32,.610,4.0,110.7,107.0,3.74,0.5530328389352384,-0.038044688332378535,-0.7437573792073007,-0.19941559722488325,-0.5006654594299629,0.07487632688250362,-0.2479720995292473,-0.8084426718193292,-1.1758854900733917
1968,Carmelo Anthony,25.0,Denver Nuggets,SF,69.0,69.0,38.2,10.0,21.8,0.458,0.9,2.7,0.316,9.1,19.1,0.478,0.478,7.4,8.9,0.83,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2,2010,65.0,1230.0,0.053,7.9,0.145,53,29,.646,—,106.5,102.4,4.15,1.0337596387221932,-0.28233163446659837,-0.8183011461108048,-0.19941559722488325,-0.6142520443680484,-0.6757871266730833,-1.0297541455000798,-0.898618677270262,-1.0720507840883358
1970,Carmelo Anthony,28.0,New York Knicks,PF,67.0,67.0,37.0,10.0,22.2,0.449,2.3,6.2,0.379,7.6,16.0,0.476,0.502,6.3,7.6,0.83,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7,2013,475.0,1210.0,0.393,9.5,0.184,54,28,.659,—,100.0,95.7,3.73,1.1299049986795842,-0.19072402966626578,-1.041932446821318,-1.1534823761047166,-0.5006654594299629,-0.8744921584966213,-0.4611853847940198,-0.41767998153195196,-0.26214007740489625
1971,Carmelo Anthony,29.0,New York Knicks,PF,77.0,77.0,38.7,9.6,21.3,0.452,2.2,5.4,0.402,7.5,15.9,0.469,0.503,6.0,7.0,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,2014,4.0,1250.0,0.003,10.7,0.172,37,45,.451,11.0,98.6,99.4,-1.40,0.8799270627903676,0.1757063895350634,-0.8555730295625571,-0.3902289530008501,-0.2734922895537919,-0.8082571478887753,-0.43749501976460065,-0.05697595972821957,-0.5113433717690317
2026,Cedric Ceballos,25.0,Los Angeles Lakers,SF,58.0,54.0,35.0,8.6,16.8,0.509,1.0,2.5,0.397,7.6,14.3,0.528,0.538,3.6,5.0,0.716,2.9,5.1,8.0,1.8,1.0,0.3,2.5,2.3,21.7,1995,1.0,1050.0,0.001,5.2,0.123,48,34,.585,11.0,105.1,105.3,-0.01,-0.21613004072388942,0.14517052126828606,-1.3401075144353354,-0.7718556645527833,-0.7278386293061337,0.4502080536602977,0.3916677562650702,-1.7102027263286603,-1.5289234904225835
2064,Charles Barkley,27.0,Philadelphia 76ers,SF,67.0,67.0,37.3,9.9,17.4,0.57,0.7,2.3,0.284,9.3,15.1,0.614,0.589,7.1,9.8,0.722,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,27.6,1991,222.0,960.0,0.231,13.4,0.258,44,38,.537,12.0,105.4,105.6,-0.39,0.9183852067733245,0.7864237548706124,-0.44558231159328315,0.3730244701030168,-0.5006654594299629,1.7969866026864976,1.5998763727654453,0.7546080893301791,1.2746135711739377
