,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Pts Won,Pts Max,Share,WS,WS/48,W,L,W/L%,GB,PS/G,PA/G,SRS,PTS_Scaled,TRB_Scaled,AST_Scaled,STL_Scaled,BLK_Scaled,FG%_Scaled,eFG%_Scaled,WS_Scaled,WS/48_Scaled
7744,Karl Malone,31.0,Utah Jazz,PF,82.0,82.0,38.1,10.1,18.9,0.536,0.1,0.5,0.268,10.0,18.4,0.543,0.54,6.3,8.5,0.742,1.9,8.7,10.6,3.5,1.6,1.0,2.9,3.3,26.7,1995,532.0,1050.0,0.507,13.8,0.212,60,22,.732,2.0,106.4,98.4,7.76,0.7453235588500203,0.9391030962044996,-0.7064854957555484,0.3730244701030168,0.0672674652604646,1.0463231491309117,0.4390484863239086,0.8748427632647567,0.3193342761114191
7745,Karl Malone,32.0,Utah Jazz,PF,82.0,82.0,38.0,9.6,18.5,0.519,0.2,0.5,0.4,9.4,18.0,0.522,0.524,6.2,8.6,0.723,2.1,7.7,9.8,4.2,1.7,0.7,2.4,3.0,25.7,1996,85.0,1130.0,0.075,15.1,0.233,55,27,.671,4.0,102.5,95.9,6.25,0.5530328389352384,0.6948161500702804,-0.44558231159328315,0.5638378258789832,-0.2734922895537919,0.6709914223531177,0.06000264585320189,1.2656054535521335,0.755440041248656
7746,Karl Malone,33.0,Utah Jazz,PF,82.0,82.0,36.6,10.5,19.2,0.55,0.0,0.2,0.0,10.5,19.0,0.555,0.55,6.4,8.4,0.755,2.4,7.5,9.9,4.5,1.4,0.6,2.8,2.6,27.4,1997,986.0,1150.0,0.857,16.7,0.268,64,18,.780,—,103.1,94.3,7.97,0.8799270627903676,0.7253520183370578,-0.3337666612380267,-0.008602241448916846,-0.3870788744918774,1.3554198653008598,0.6759521366181003,1.7465441492904434,1.4822829831440505
7747,Karl Malone,34.0,Utah Jazz,PF,81.0,81.0,37.4,9.6,18.2,0.53,0.0,0.1,0.333,9.6,18.1,0.531,0.531,7.8,10.2,0.761,2.3,8.0,10.3,3.9,1.2,0.9,3.0,2.9,27.0,1998,842.0,1160.0,0.726,16.4,0.259,62,20,.756,—,101.0,94.4,5.73,0.803010774824455,0.8474954914041677,-0.5573979619485397,-0.3902289530008501,-0.046319119677620854,0.9138531279152198,0.22583520105913607,1.6563681438395101,1.295380512370949
7748,Karl Malone,35.0,Utah Jazz,PF,49.0,49.0,37.4,8.0,16.3,0.493,0.0,0.0,0.0,8.0,16.2,0.494,0.493,7.7,9.8,0.788,2.2,7.3,9.4,4.1,1.3,0.6,3.3,2.7,23.8,1999,827.0,1180.0,0.701,9.6,0.252,37,13,.740,—,93.3,86.8,5.54,0.18768047109715294,0.5726726770031705,-0.4828541950450355,-0.19941559722488325,-0.3870788744918774,0.09695466375178563,-0.6743986700587923,-0.38762131304830766,1.1500119239918698
7749,Karl Malone,36.0,Utah Jazz,PF,82.0,82.0,35.9,9.2,18.0,0.509,0.0,0.1,0.25,9.1,17.9,0.511,0.51,7.2,9.0,0.797,2.1,7.4,9.5,3.7,1.0,0.9,2.8,2.8,25.5,2000,312.0,1210.0,0.258,15.3,0.249,55,27,.671,—,96.5,92.0,4.52,0.5145746949522821,0.6032085452699478,-0.631941728852044,-0.7718556645527833,-0.046319119677620854,0.4502080536602977,-0.27166246455866644,1.3257227905194224,1.087711100400836
7750,Karl Malone,37.0,Utah Jazz,PF,81.0,81.0,35.7,8.3,16.6,0.498,0.0,0.1,0.4,8.2,16.5,0.499,0.499,6.6,8.3,0.793,1.4,6.9,8.3,4.5,1.1,0.8,3.0,2.7,23.2,2001,21.0,1240.0,0.017,13.1,0.217,53,29,.646,5.0,97.1,92.4,5.00,0.07230603914828351,0.23677812606861864,-0.3337666612380267,-0.5810423087768165,-0.15990570461570633,0.20734634809819566,-0.5322564798822773,0.6644320838792458,0.4231689820964755
7769,Kawhi Leonard,23.0,San Antonio Spurs,SF,64.0,64.0,31.8,6.2,12.8,0.479,1.0,3.0,0.349,5.1,9.8,0.519,0.52,3.2,3.9,0.802,1.3,5.9,7.2,2.5,2.3,0.8,1.5,2.0,16.5,2015,1.0,1300.0,0.001,8.6,0.204,55,27,.671,1.0,103.2,97.0,6.34,-1.2160417842807554,-0.09911642486593349,-1.07920433027307,1.708717960534783,-0.15990570461570633,-0.21214205241816245,-0.03475881426447478,-0.6882079978847515,0.15319874653532883
7770,Kawhi Leonard,24.0,San Antonio Spurs,SF,72.0,72.0,33.1,7.7,15.1,0.506,1.8,4.0,0.443,5.9,11.1,0.528,0.565,4.1,4.6,0.874,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2,2016,634.0,1310.0,0.484,13.7,0.277,67,15,.817,—,103.5,92.9,10.28,-0.3122754006812804,-0.2212598979330434,-1.041932446821318,0.75465118165495,0.0672674652604646,0.38397304305245167,1.0313076120593851,0.8447840947811119,1.669185453917152
7771,Kawhi Leonard,25.0,San Antonio Spurs,SF,74.0,74.0,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,2017,500.0,1010.0,0.495,13.6,0.264,61,21,.744,—,105.3,98.1,7.13,0.5145746949522821,-0.5266185806008179,-0.7064854957555484,0.75465118165495,-0.2734922895537919,-0.0796720312024704,0.46273885135332776,0.8147254262974677,1.3992152183560054
7773,Kawhi Leonard,27.0,Toronto Raptors,SF,60.0,60.0,34.0,9.3,18.8,0.496,1.9,5.0,0.371,7.5,13.8,0.542,0.546,6.1,7.1,0.854,1.3,6.0,7.3,3.3,1.8,0.4,2.0,1.5,26.6,2019,13.0,1010.0,0.013,9.5,0.224,58,24,.707,—,114.4,108.4,5.49,0.7260944868585426,-0.06858055659915614,-0.7810292626590528,0.75465118165495,-0.6142520443680484,0.16318967435963164,0.5811906765004236,-0.41767998153195196,0.5685375704755545
7774,Kawhi Leonard,28.0,Los Angeles Clippers,SF,57.0,57.0,32.4,9.3,19.9,0.47,2.2,5.7,0.378,7.2,14.2,0.506,0.524,6.2,7.1,0.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,27.1,2020,168.0,1010.0,0.166,8.7,0.226,49,23,.681,3.5,116.3,109.9,6.66,0.8222398468159335,-0.1296522931327111,-0.1846791274310179,0.75465118165495,-0.3870788744918774,-0.41084708424170047,0.06000264585320189,-0.6581493294011073,0.6100714528695771
7775,Kawhi Leonard,29.0,Los Angeles Clippers,SF,52.0,52.0,34.1,8.9,17.5,0.512,1.9,4.9,0.398,7.0,12.6,0.557,0.568,5.0,5.7,0.885,1.1,5.4,6.5,5.2,1.6,0.4,2.0,1.6,24.8,2021,1.0,1010.0,0.001,8.8,0.238,47,25,.653,4.0,114.0,107.8,6.02,0.3799711910119349,-0.3128675027333757,-0.07286347707576142,0.3730244701030168,-0.6142520443680484,0.5164430642681437,1.1023787071476427,-0.6280906609174625,0.8592747472337119
7971,Kenny Smith,25.0,Houston Rockets,PG,78.0,78.0,34.6,6.7,12.9,0.52,0.6,1.7,0.363,6.1,11.1,0.545,0.545,3.7,4.4,0.844,0.5,1.6,2.1,7.1,1.4,0.1,3.0,1.7,17.7,1991,5.0,960.0,0.005,9.0,0.161,52,30,.634,3.0,106.7,103.2,3.27,-0.9852929203830172,-1.6564457064715836,0.6353023085075297,-0.008602241448916846,-0.9550117991823048,0.6930697592223998,0.5575003114710044,-0.5679733239501739,-0.7397797249361552
8071,Kevin Durant,21.0,Oklahoma City Thunder,SF,82.0,82.0,39.5,9.7,20.3,0.476,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,2010,609.0,1230.0,0.495,16.1,0.238,50,32,.610,3.0,101.5,98.0,3.55,1.3991120065602793,0.02302704820117615,-0.9673886799178137,-0.008602241448916846,0.0672674652604646,-0.27837706302600845,-0.1769010044409898,1.5661921383885777,0.8592747472337119
8072,Kevin Durant,22.0,Oklahoma City Thunder,SF,78.0,78.0,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,27.7,2011,190.0,1210.0,0.157,12.0,0.189,55,27,.671,—,104.8,101.0,3.81,0.9376142787648023,-0.2212598979330434,-1.0046605633695658,-0.5810423087768165,0.0672674652604646,-0.5874737791959553,-0.2953528295880856,0.33378673055915764,-0.15830537141983986
8073,Kevin Durant,23.0,Oklahoma City Thunder,SF,66.0,66.0,38.6,9.7,19.7,0.496,2.0,5.2,0.387,7.7,14.4,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,28.0,2012,889.0,1210.0,0.735,12.2,0.23,47,19,.712,—,103.1,96.9,6.44,0.995301494739237,0.14517052126828606,-0.7064854957555484,-0.19941559722488325,0.29444063513663554,0.16318967435963164,0.6048810415298428,0.3939040675264462,0.6931392176576222
8074,Kevin Durant,24.0,Oklahoma City Thunder,SF,81.0,81.0,38.5,9.0,17.7,0.51,1.7,4.1,0.416,7.3,13.6,0.539,0.559,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,2013,765.0,1210.0,0.632,18.9,0.291,60,22,.732,—,105.7,96.5,9.15,1.0145305667307154,0.11463465300150873,-0.29649477778627464,-0.008602241448916846,0.40802722007472114,0.4722863905295797,0.8891654218828727,2.4078348559306195,1.9599226306753088
8075,Kevin Durant,25.0,Oklahoma City Thunder,SF,81.0,81.0,38.5,10.5,20.8,0.503,2.4,6.1,0.391,8.1,14.8,0.549,0.56,8.7,9.9,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,2014,1232.0,1250.0,0.986,19.2,0.295,59,23,.720,—,106.2,99.8,6.66,1.7644643743983648,-0.038044688332378535,0.03895217327949503,-0.19941559722488325,-0.2734922895537919,0.3177380324446057,0.912855786912292,2.498010861381553,2.042990395463354
8077,Kevin Durant,27.0,Oklahoma City Thunder,SF,72.0,72.0,35.8,9.7,19.2,0.505,2.6,6.7,0.387,7.1,12.5,0.569,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2,2016,147.0,1310.0,0.112,14.5,0.27,55,27,.671,—,110.2,102.9,7.09,1.0337596387221932,0.20624225780184074,-0.14740724397926583,-0.7718556645527833,0.29444063513663554,0.36189470618316966,1.2208305322947386,1.0852534426502671,1.523816865538073
8078,Kevin Durant,28.0,Golden State Warriors,PF,62.0,62.0,33.4,8.9,16.5,0.537,1.9,5.0,0.375,7.0,11.5,0.608,0.594,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,2017,2.0,1010.0,0.002,12.0,0.278,67,15,.817,—,115.9,104.3,11.35,0.43765840698636965,0.23677812606861864,-0.22195101088277025,-0.5810423087768165,0.7487869748889777,1.0684014860001938,1.718328197912541,0.33378673055915764,1.6899523951141633
8079,Kevin Durant,29.0,Golden State Warriors,SF,68.0,68.0,34.2,9.3,18.0,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0,26.4,2018,66.0,1010.0,0.065,10.4,0.215,58,24,.707,—,113.5,107.5,5.79,0.6876363428755856,-0.2212598979330434,0.0016802898277429876,-1.3442957318806834,0.9759601447651486,0.6047564117452717,1.5288052776771877,-0.1471519651791524,0.38163509970245296
8080,Kevin Durant,30.0,Golden State Warriors,SF,78.0,78.0,34.6,9.2,17.7,0.521,1.8,5.0,0.353,7.5,12.8,0.587,0.571,5.7,6.5,0.885,0.4,5.9,6.4,5.9,0.7,1.1,2.9,2.0,26.0,2019,25.0,1010.0,0.025,11.5,0.204,57,25,.695,—,117.7,111.2,6.42,0.6107200549096731,-0.34340337100015306,0.18803970708650386,-1.3442957318806834,0.1808540501985502,0.7151480960916817,1.1734498022359001,0.18349338814093571,0.15319874653532883
